foldername|placemark|reportid|reportdesc|county|reportdate|lng|lat
1970|1970|Report 16714|Two men remember hearing bone-chilling scream while parking at lookout point in Stone State Park|Woodbury County|1970-06-01|-96.47562|42.55576
February 1981|February 1981|Report 22945|Man recalls observing possible tracks and being screamed at on his paper route in Eldridge|Scott County|1981-02-04|-90.59601|41.65225
October 2006|October 2006|Report 23448|Possible nighttime encounter by campers at Volga River State Recreation Area|Fayette County|2006-10-07|-91.75641|45.8618
May 2008|May 2008|Report 24056|Hunter describes combination of rock clacking and bird-like vocals in public hunting area near Van Wert|Decatur County|2008-05-28|-93.85965|40.8348
July 1989|July 1989|Report 27141|Campers hear loud scream at close range near Wapsipinicon River|Scott County|1989-07-04|-90.55585|41.76392
1973|1973|Report 27978|Memory of a possible encounter as young girls riding horses at night near the Coralville Reservoir|Johnson County|1973-07-01|-91.59415|41.76292
October 2010|October 2010|Report 28427|Hunter experiences eerie silence, foul odor and possible wood knocking in the Cardinal Marsh Wildlife Management Area|Winneshiek County|2010-10-24|-92.06343|43.32922
2011|2011|Report 33490|Large log tossed into Des Moines River as woman watches eagles from bridge at Frank Gotch State Park|Humboldt County|2011-02-15|-94.20245|42.6766
2010|2010|Report 35883|Possible encounter while volunteering at Macbride Raptor Project outside North Liberty|Johnson County|2010-04-15|-91.57033|41.7822
September 2012|September 2012|Report 36514|Father and son are approached by three large bipeds while fishing at dusk west of Asbury|Dubuque County|2012-09-21|-90.84215|42.50969
February 2013|February 2013|Report 39831|Photographer spooked off Big Spirit Lake before he gets his photo|Dickinson County|2013-02-04|-95.12505|43.47104
July 2013|July 2013|Report 41700|Motorist observes a dark shaggy figure running on the road in daylight near Ogden|Boone County|2013-07-23|-94.01338|42.10722
September 1970|September 1970|Report 44740|Memory told of being chased off by frightening thumps and scream while hiking in Pikes Peak State Park|Clayton County|1970-09-27|-91.17154|43.00499
September 1974|September 1974|Report 9954|Elk hunters find footprints on Stanley Butte.|Idaho County|1974-09-14|-115.2088|46.2404
August 2004|August 2004|Report 10960|Possible stalking outside a campers' tent in the White Knob mountains|Custer County|2004-08-01|-113.8441|43.79615
September 2001|September 2001|Report 13717|Possible vocalizations heard by staff at Redfish Lake near Stanley|Custer County|2001-09-01|-114.9221|44.14765
August 1997|August 1997|Report 13768|Possible sighting at night by bowhunters near Crooked Creek outside Dubois|Clark County|1997-08-19|-112.6467|44.2548
February 2006|February 2006|Report 13828|Possible tracks found outside Clark Fork, near Spring Creek Road|Bonner County|2006-02-10|-116.1842|48.15585
October 1972|October 1972|Report 15120|Man describes daylight sighting by father (elk hunter) near Clarkia|Benewah County|1972-10-01|-116.322|47.0615
October 2005|October 2005|Report 15206|Possible tracks found on Buckles Mountain|Kootenai County|2005-10-06|-116.6079|47.85001
June 2004|June 2004|Report 15416|Possible vocalizations heard by campers near Lowman|Boise County|2004-06-19|-115.3106|44.14555
June 2006|June 2006|Report 15621|Members of a Boy Scout troop hear possible vocalizations at Loon Lake|Valley County|2006-06-27|-115.8405|45.16792
August 2000|August 2000|Report 18050|Series of loud vocalizations from two sources heard in the Yellowjacket Mountains.|Lemhi County|2000-08-01|-114.655|44.9625
November 2006|November 2006|Report 18958|Screaming and eyeshine witnessed by hunter in the Big Hole Mountains|Madison County|2008-04-12|-111.4418|43.61015
2000|2000|Report 20221|Winter hikers find trail of footprints near Clark Fork|Bonner County|2000-12-31|-116.0969|48.25206
August 1981|August 1981|Report 24224|Man tells of his possible daylight encounter as a young motorcycle explorer in the Coeur d'Alene National Forest|Shoshone County|1981-08-01|-116.211|47.6835
August 2008|August 2008|Report 24693|Rock banging, footprints and strange stripped tree on high mountain ranch near Sandpoint|Bonner County|2008-08-19|-116.71|48.33
November 1979|November 1979|Report 25056|Fish &amp; Game employee recalls following possible tracks while hiking near Little Payette Lake|Valley County|1979-10-20|-116.4873|44.9166
June 2003|June 2003|Report 28386|Camper and his three dogs hear possible vocalizations and cut camping trip short in Beaver Creek|Bear Lake County|2003-06-21|-111.5212|42.35635
November 2009-2010|November 2009-2010|Report 29020|Couple describes incidents at two different campgrounds in Boise National Forest|Boise County|2009-11-01|-115.8596|44.35978
1978|1978|Report 2901|Couple in car terrified by loud howl/scream near Carlinville.|Macoupin County|1978-05-01|-89.952|39.115
May 2001|May 2001|Report 2992|Unusual vocalizations from Mississippi River bottoms between Hamilton and Warsaw.|Hancock County|2001-05-16|-91.3883|40.3752
August 2001|August 2001|Report 3018|Late night screams heard near Rosiclare.|Hardin County|2001-08-16|-88.3461|37.5
December 1975|December 1975|Report 3300|Trapper recalls large footprints he found while trapping near Pinckneyville.|Perry County|1975-12-06|-89.30435|38.04813
1990|1990|Report 5742|Young man hears nighttime vocalizations and is followed in woods near Mounds.|Pulaski County|2004-11-27|-89.1979|37.1142
December 1990 or 1991|December 1990 or 1991|Report 6820|Tracks found on a creek bed near Chandlerville|Cass County|2004-11-14|-90.1498|40.04505
May 2000(?)|May 2000(?)|Report 10879|Mushroom hunters find series of large footprints near Ste. Marie.|Jasper County|2000-05-06|-87.97622|38.94564
June 2003|June 2003|Report 11121|Hikers find large footprint along Franklin Creek.|Lee County|2003-06-14|-89.34285|41.86395
November 1984|November 1984|Report 11295|Coon hunters hear vocalizations and footprints found near Burlington.|Kane County|1984-11-17|-88.53872|42.075
October 2005|October 2005|Report 12836|Family hears vocalizations and finds footprints in their backyard east of Pekin|Tazewell County|2005-10-06|-89.585|40.61
November 1986|November 1986|Report 12919|Youth has nighttime sighting along Rock River|Whiteside County|1986-11-15|-90.1|41.6
November 2005|November 2005|Report 13070|Youth has pre-dawn encounter on the way to deer stand near Mitchellville|Saline County|2005-11-18|-88.55|37.63
May 2006|May 2006|Report 14802|Possible vocalizations heard by camper near Williams Hill Pass in the Shawnee National Forest|Saline County|2006-05-29|-88.50061|37.61404
June 2006|June 2006|Report 15019|Possible vocalizations heard near Yorkville|Kendall County|2006-06-21|-88.4375|41.625
2006|2006|Report 15393|Woman describes her son's possible sighting near Lake of Egypt in Shawnee National Forest|Williamson County|2006-07-28|-88.9319|37.61095
October 2005|October 2005|Report 15844|Possible sounds heard, etc., in Kickapoo State Park|Vermilion County|2005-10-01|-87.7424|40.1527
December 1977|December 1977|Report 15895|Possible vocalization heard in Marion, Illinois|Williamson County|1977-12-31|-88.9487|37.72735
September 1998|September 1998|Report 18059|Possible footprints found five miles east of Vandalia.|Fayette County|1998-09-26|-89|39
1975|1975|Report 18584|Possible vocalization heard near Pyramid State Park.|Perry County|2007-10-15|-89.4205|38.0985
April 1978|April 1978|Report 23760|Memory told of possible vocalizations and rocks thrown at Lake Kinkaid.|Jackson County|1978-04-02|-89.45728|37.78048
September 2007|September 2007|Report 25704|Cougar research interrupted by wood knocks at Bell Smith Springs|Pope County|2007-09-22|-88.65912|37.52127
November 2008|November 2008|Report 25924|Possible encounter and vocalizations heard by bowhunter near Metropolis.|Massac County|2008-11-26|-88.7476|37.228
2008|2008|Report 26039|Motorist has possible sighting near Barrington.|Lake County|2008-05-13|-88.09506|42.17577
September 2009|September 2009|Report 26874|Possible footprints found near Mackinaw River|Woodford County|2009-09-24|-89.04518|40.65639
December 2009|December 2009|Report 27042|Possible daylight sighting by motorist on Illinois Route 4 outside Hamel.|Madison County|2009-12-18|-89.80123|38.90123
January 2010|January 2010|Report 27146|Deer hunters hear possible vocalizations and find strange footprints near Ellisville|Fulton County|2010-01-05|-90.28404|40.63267
February 2010|February 2010|Report 27387|Large unknown bipedal animal seen possibly chasing deer near Dixon|Ogle County|2010-02-28|-89.41539|41.90703
May 2010|May 2010|Report 27692|Mushroom hunter hears vocalizations and finds footprints near Jubilee College State Park|Peoria County|2010-05-05|-89.73378|40.82944
1978|1978|Report 28370|Memory told of a possible encounter and footprint found along Horse Creek north of Pawnee|Sangamon County|1978-08-01|-89.56981|39.65749
November 2010|November 2010|Report 28525|Possible vocalizations and stick structures found in Bachelors Grove Cemetery|Cook County|2010-11-02|-87.76622|41.63243
December 2008|December 2008|Report 28569|Wood knock and possible nighttime sighting east of Canton Lake|Fulton County|2008-12-27|-89.95824|40.5634
January 2011|January 2011|Report 28679|Hiker finds possible footprints in Timber Ridge Forest Preserve (w/photos)|Du Page County|2011-01-04|-88.18031|41.89011
September 2009|September 2009|Report 28713|Hikers find possible footprints by a cornfield north of Norris|Fulton County|2009-09-15|-89.99568|40.63281
May 2011|May 2011|Report 29227|Possible footprints found near Metropolis|Massac County|2011-05-03|-88.7584|37.2276
October 1999|October 1999|Report 29241|Memory of possible vocalizations and rock throwing southwest of Atwood|Moultrie County|1999-10-09|-88.62624|39.75616
February 2011|February 2011|Report 29448|Possible footprints found near Algonquin|Kane County|2011-02-03|-88.2886|42.1551
June 2011|June 2011|Report 29495|Possible footprint found on edge of Chatham|Sangamon County|2011-06-15|-89.68079|39.66676
June 2011|June 2011|Report 29612|Vocalizations recorded and possible footprint found near Sugar Creek.|Sangamon County|2011-06-23|-89.66525|39.6395
July 2011|July 2011|Report 29836|Family experiences strange occurences while fishing Kankakee River|Kankakee County|2011-07-02|-88.01345|41.207
August 2011|August 2011|Report 30510|Possible footprint found near Peoria|Peoria County|2011-08-14|-89.599|40.8365
September 2011|September 2011|Report 30601|Possible vocalization and footprint found near Bachelors Grove Cemetery|Cook County|2011-09-07|-87.76622|41.63243
October 1997|October 1997|Report 30645|Motorists have possible late night sighting south of Otterville|Jersey County|1997-10-11|-90.4049|39.02775
June 2011|June 2011|Report 31062|Possible footprints found near the Sugar Creek Covered Bridge|Sangamon County|2011-06-16|-90|40
December 2011|December 2011|Report 31419|Possible nighttime sighting and vocalizations in a backyard near Old Ripley|Bond County|2011-12-08|-89.53419|38.9241
September 1972-1978|September 1972-1978|Report 32196|Memory told of family encounters near Granite City.|Madison County|1972-09-04|-90.14547|38.74784
June 2011|June 2011|Report 32634|Two paranormal investigators find possible evidence at Cumberland Sugar Creek Cemetery|Sangamon County|2011-06-28|-89.6845|39.62
November 2010|November 2010|Report 33040|Possible sighting by a deer hunter west of Rushville|Schuyler County|2010-11-18|-90.6757|40.1348
January 2012|January 2012|Report 33264|Photos taken of possible footprints found on rural property near Albany|Whiteside County|2012-01-23|-90.22054|41.73534
January 2007|January 2007|Report 33426|Possible footprints found northwest of Robinson|Crawford County|2007-01-06|-87.80624|39.09109
March 2000|March 2000|Report 34919|Motorist has a possible nighttime sighting west of Albion|Edwards County|2000-03-15|-88.07554|38.3778
July 1985|July 1985|Report 34980|Fisherman recalls his possible nighttime sighting near Vermilionville|La Salle County|1985-07-06|-89.03049|41.26155
2009|2009|Report 35206|Possible nighttime sighting by a homeowner near Bonnie|Jefferson County|2010-10-02|-88.83003|38.18881
May 2012|May 2012|Report 35593|Possible nighttime sighting by motorists along border of Orland Grove Forest Preserve|Cook County|2012-05-29|-87.86476|41.63039
August 2009|August 2009|Report 36567|Possible nighttime sighting while driving in Orient|Franklin County|2009-08-06|-88.98228|37.92017
October 1977|October 1977|Report 36702|Memory told of a possible sighting at dawn by a hunter in his tree stand southeast of Pontiac|Livingston County|1977-10-22|-88.50196|40.82546
